area,page,component,resource_type,resource_ref,criticality,owner_role
Dashboard,Overview,KPI tiles view,table,mv_finance_kpis,P1,"owner,studio_manager,accountant"
Dashboard,Overview,Recent activity feed,table,audit_logs,P2,"owner,studio_manager"
Dashboard,Overview,Alerts widget,table,system_alerts,P1,"owner,studio_manager,accountant"
People,Customers,List & filters,table,customers,P1,"front_desk,studio_manager,owner,marketer"
People,Customers,Profile core,table,customers,P1,"front_desk,studio_manager,owner"
People,Customers,Consents tab,table,consents,P1,"front_desk,studio_manager,owner,marketer"
People,Customers,Wallets tab,table,wallets,P1,"front_desk,studio_manager,owner,accountant"
People,Customers,Wallet ledger,table,wallet_ledger,P1,"studio_manager,owner,accountant"
People,Instructors,List & profile,table,instructors,P1,"owner,studio_manager"
People,Instructors,Availability,table,instructor_availability,P1,"owner,studio_manager,instructor"
People,Instructors,Earnings tab,table,earnings,P1,"owner,studio_manager,instructor,accountant"
People,Staff Management,Pay rates,table,pay_rules,P1,"owner,studio_manager,accountant"
People,Staff Management,Timesheets,table,timesheets,P1,"owner,studio_manager,accountant"
People,Customer Wallets,Balances,table,wallets,P1,"owner,studio_manager,accountant,front_desk"
People,Customer Wallets,Adjustments,rpc,wallet_adjust,P1,"owner,studio_manager,accountant"
People,Communications,Inbox,table,messages,P2,"owner,studio_manager,marketer,front_desk"
People,Communications,Templates,table,message_templates,P2,"marketer,owner"
Classes,Class Schedule,Calendar,table,class_occurrences,P1,"owner,studio_manager,instructor,front_desk"
Classes,Booking Engine,Checkout,rpc,reserve_slot,P1,"owner,studio_manager,front_desk"
Classes,Booking Engine,Capture payment,rpc,capture_payment,P1,"owner,studio_manager,front_desk"
Classes,Advanced Scheduling,Bulk editor,table,class_instances,P2,"owner,studio_manager"
Classes,Advanced Scheduling,Blackout dates,table,blackouts,P2,"owner,studio_manager"
Classes,Recurring Classes,Generator,rpc,generate_class_occurrences,P1,"owner,studio_manager"
Classes,Registrations,Roster,table,class_registrations,P1,"owner,studio_manager,instructor,front_desk"
Classes,Registrations,Check-in,rpc,mark_attendance,P1,"owner,studio_manager,front_desk"
Classes,Registration System,Policies,table,registration_policies,P2,"owner,studio_manager"
Classes,Cancellation & Refunds,Refund wizard,rpc,cancel_and_refund,P1,"owner,studio_manager,accountant"
Classes,Locations & Resources,Locations,table,locations,P1,"owner,studio_manager"
Classes,Locations & Resources,Rooms,table,rooms,P2,"owner,studio_manager"
Classes,Outdoor Locations,Weather policy,edge,weather_decision,P3,"owner,studio_manager"
Classes,Retreat Management,Retreats,table,retreats,P2,"owner,studio_manager"
Classes,Retreat Management,Retreat pricing,table,retreat_prices,P2,"owner,studio_manager,accountant"
Shop,Products,Catalog,table,products,P2,"owner,studio_manager"
Shop,Products,Media,storage,media-products,P2,"owner,studio_manager"
Shop,Pricing & Packages,Class passes,table,packages,P1,"owner,studio_manager"
Shop,Pricing & Packages,Memberships,table,subscriptions,P1,"owner,studio_manager"
Shop,Inventory,Stock ledger,table,inventory_ledger,P2,"owner,studio_manager,accountant"
Marketing,Campaign Management,Email/SMS builder,table,campaigns,P2,"marketer,owner"
Marketing,Campaign Management,Sends queue,table,messages,P2,"marketer,owner"
Marketing,Customer Segments,Segment builder,table,segments,P2,"marketer,owner"
Marketing,Analytics & Reports,Attribution views,table,mv_marketing_attribution,P3,"marketer,owner"
Marketing,Business Growth,Referrals,table,referrals,P3,"marketer,owner"
Marketing,Automations,Journeys,table,journeys,P2,"marketer,owner"
Finance,Finance Overview,KPIs,table,mv_finance_kpis,P1,"owner,studio_manager,accountant"
Finance,Payments & Billing,Payments,table,payments,P1,"accountant,owner,studio_manager"
Finance,Payments & Billing,Provider webhooks,table,webhook_deliveries,P1,"accountant,owner"
Finance,Swiss Payments,Invoices (QR),table,invoices,P1,"accountant,owner"
Finance,Swiss Payments,QR generator,rpc,generate_qr_bill,P1,"accountant,owner"
Finance,Swiss Payments,Bank import,table,bank_imports,P1,"accountant,owner"
Finance,Wallet Management,Wallets,table,wallets,P1,"accountant,owner,studio_manager"
Finance,Wallet Management,Rules/eligibility,rpc,wallet_eligibility,P1,"accountant,owner,studio_manager"
Finance,Financial Reports,VAT report,view,vw_tax_report,P1,"accountant,owner"
Finance,Financial Reports,Payouts,table,payouts,P2,"accountant,owner"
Finance,Financial Reports,Instructor earnings,table,earnings,P1,"accountant,owner,studio_manager,instructor"
Settings,General Settings,Tenant prefs,table,settings,P1,"owner,studio_manager"
Settings,System Health,SIS dashboard,table,sis_runs,P1,owner
Settings,API & Integrations,API keys,table,api_keys,P1,owner
Settings,API & Integrations,Webhooks,table,webhooks,P1,owner
Settings,Compliance & Legal,Consents,table,consents,P1,"owner,marketer"
Settings,Compliance & Legal,DSAR,table,dsar_requests,P2,owner
Settings,Security,Audit log,table,audit_logs,P1,owner
Settings,Security,Impersonation,table,impersonation_sessions,P1,owner
People,Payroll & Compensation,Pay rules,table,pay_rules,P1,"owner,studio_manager,accountant"
People,Payroll & Compensation,Earnings compute,rpc,compute_earnings,P1,"owner,studio_manager,accountant"
People,Payroll & Compensation,Period close,rpc,close_payroll,P1,"owner,studio_manager,accountant"
People,Payroll & Compensation,Payout export,table,payouts,P1,"accountant,owner"
